Model,Metric,Original,Bootstrap Mean,Bootstrap SD,95% CI Lower,95% CI Upper
ResNet-50,Accuracy,0.95,0.9488157708402843,0.02109196014659615,0.9035016977928693,0.9854041045170845
ResNet-50,AUROC,0.984375,0.984400298334442,0.011206115512826366,0.9582248225916206,0.9994484189518671
ResNet-50,AUPRC,0.995003280096849,0.9947819212089702,0.004219570894286391,0.9840072234337444,0.9998662278205093
ResNet-50,Sensitivity,0.9814814814814815,0.9805527614609462,0.013012003303593906,0.9519153225806452,1.0
ResNet-50,Specificity,0.84375,0.844671876349116,0.0737742943443745,0.6874553571428571,0.9697192513368983
ResNet-50,F1,0.9680365296803652,0.9666861302641124,0.01464856064720617,0.9340645395213923,0.9907449494949494
DenseNet-121,Accuracy,0.95,0.9493074751430935,0.02306160153340054,0.8991444403848496,0.9867571453468108
DenseNet-121,AUROC,0.9826388888888888,0.9822671005215589,0.011266159244256148,0.9558597883597884,0.9985386031151233
DenseNet-121,AUPRC,0.9950371458692335,0.9947248106356156,0.0039244743157564555,0.9850141438409027,0.9996090070643642
DenseNet-121,Sensitivity,0.9722222222222222,0.9715293566073637,0.015504872901388118,0.9387710347296814,1.0
DenseNet-121,Specificity,0.875,0.8773438222804667,0.0801151577059224,0.7037037037037037,1.0
DenseNet-121,F1,0.967741935483871,0.9667476905968337,0.015856983474420307,0.9310344827586207,0.9919354838709677
EfficientNet-B4,Accuracy,0.9142857142857143,0.913035540523289,0.028185353506275972,0.8536546527885661,0.9634168595335588
EfficientNet-B4,AUROC,0.9525462962962963,0.9533063840594528,0.03338708943794336,0.8801718283835775,0.9976505227913534
EfficientNet-B4,AUPRC,0.974662545313663,0.9745221918005993,0.02219977178485868,0.9224094063681738,0.9993697824616445
EfficientNet-B4,Sensitivity,0.9444444444444444,0.9433556565651295,0.024810719767509582,0.891298966853207,0.9871875
EfficientNet-B4,Specificity,0.8125,0.8137487263485896,0.0871335408413304,0.6296031746031746,0.967741935483871
EfficientNet-B4,F1,0.9444444444444444,0.9427621204458326,0.019983442474648477,0.8994708994708994,0.9767441860465116
ResNet-50 + MC Dropout,Accuracy,0.95,0.9488157708402843,0.02109196014659615,0.9035016977928693,0.9854041045170845
ResNet-50 + MC Dropout,AUROC,0.9849537037037037,0.984935154152558,0.010773092971970273,0.9601888319269557,0.9995763682745825
ResNet-50 + MC Dropout,AUPRC,0.9952131687942223,0.9949649422437093,0.004065085231109176,0.9847461491518198,0.9999009900990099
ResNet-50 + MC Dropout,Sensitivity,0.9814814814814815,0.9805527614609462,0.013012003303593906,0.9519153225806452,1.0
ResNet-50 + MC Dropout,Specificity,0.84375,0.844671876349116,0.0737742943443745,0.6874553571428571,0.9697192513368983
ResNet-50 + MC Dropout,F1,0.9680365296803652,0.9666861302641124,0.01464856064720617,0.9340645395213923,0.9907449494949494
DenseNet-121 + MC Dropout,Accuracy,0.95,0.9493074751430935,0.02306160153340054,0.8991444403848496,0.9867571453468108
DenseNet-121 + MC Dropout,AUROC,0.9826388888888888,0.9822995657989285,0.010849919724551727,0.9576231527093597,0.9985386031151233
DenseNet-121 + MC Dropout,AUPRC,0.9950681157505041,0.9947756819641057,0.003739818296734389,0.9855178099967769,0.9996002285529597
DenseNet-121 + MC Dropout,Sensitivity,0.9722222222222222,0.9715293566073637,0.015504872901388118,0.9387710347296814,1.0
DenseNet-121 + MC Dropout,Specificity,0.875,0.8773438222804667,0.0801151577059224,0.7037037037037037,1.0
DenseNet-121 + MC Dropout,F1,0.967741935483871,0.9667476905968337,0.015856983474420307,0.9310344827586207,0.9919354838709677
EfficientNet-B4 + MC Dropout,Accuracy,0.9214285714285714,0.9204612741105099,0.026054708858234094,0.8646616541353384,0.9668874172185431
EfficientNet-B4 + MC Dropout,AUROC,0.9554398148148148,0.956079578535109,0.03121646058240941,0.8884306021034858,0.9978309811827957
EfficientNet-B4 + MC Dropout,AUPRC,0.9791523929219248,0.9786851797749997,0.018413650380653124,0.9347228216603057,0.999406047957683
EfficientNet-B4 + MC Dropout,Sensitivity,0.9537037037037037,0.9530069107574684,0.0195485634418851,0.9117647058823529,0.9887640449438202
EfficientNet-B4 + MC Dropout,Specificity,0.8125,0.8137487263485896,0.0871335408413304,0.6296031746031746,0.967741935483871
EfficientNet-B4 + MC Dropout,F1,0.9493087557603687,0.9478992448583968,0.01839077975426273,0.9080442140892744,0.9783565355507801
ResNet-50 + Deep Ensemble,Accuracy,0.9571428571428572,0.9563778596755987,0.01979664574111662,0.9152361292191801,0.992
ResNet-50 + Deep Ensemble,AUROC,0.9858217592592593,0.985745642943031,0.00981896251893942,0.9626364692218351,0.9993337556855102
ResNet-50 + Deep Ensemble,AUPRC,0.9955737395242761,0.9953411514455931,0.0036361690296247045,0.9862180029710039,0.999839124839125
ResNet-50 + Deep Ensemble,Sensitivity,0.9814814814814815,0.9805527614609462,0.013012003303593906,0.9519153225806452,1.0
ResNet-50 + Deep Ensemble,Specificity,0.875,0.8776555189580959,0.0682757725931728,0.7333333333333333,1.0
ResNet-50 + Deep Ensemble,F1,0.9724770642201835,0.9714612360639522,0.013704501088936383,0.9405389317889319,0.9948186528497409
